Time (s),Actual Linear Velocity (m/s),Actual Angular Velocity (rad/s),Expected Linear Velocity (m/s),Expected Angular Velocity (rad/s)
,,,,
0.1262495518,0,0,,
0.1762766838,0,0,,
0.2262318134,0,0,,
0.2763190269,0,0,,
0.3269436359,0,0,,
0.3762629032,0,0,,
0.4262013435,0,0,,
0.4762511253,0,0,,
0.5261826515,0,0,,
0.5762064457,0,0,,
0.6261677742,0,0,,
0.6761746407,0,0,,
0.7261519432,0,0,,
0.7761523724,0,0,,
0.8261344433,0,0,,
0.8761439323,0,0,,
0.9261167049,0,0,,
0.976131916,0,0,,
1.026106119,0,0,,
1.076117992,0,0,,
1.126100779,0,0,,
1.176092625,0,0,,
1.226914883,0,0,,
1.276074171,0,0,,
1.326054811,0,0,,
1.376079321,0,0,,
1.42603755,0,0,,
1.476047993,0,0,,
1.527929783,0,0,,
1.576076269,0,0,,
1.626006603,0,0,,
1.676029205,0,0,,
1.725993633,0,0,,
1.775991917,0,0,,
1.828921318,0,0,,
1.875986576,0,0,,
1.925963163,0,0,,
1.975964069,0,0,,
2.025959253,0,0,,
2.075967312,0.001012264172,0.1265330216,,
2.126996517,-0.001488011591,0.4154032358,,
2.175928354,0.002069056427,0.6207169281,,
2.225929976,0.002530986233,1.044031821,,
2.27591157,0.003038400451,0.7596001127,,
2.325912476,0.003037226926,0.7846169559,,
2.375895023,0.003038342478,1.202677231,,
2.426978588,0.0009909521045,0.8423092888,,
2.475883722,0,0.8798291182,,
2.525862217,0,1.291400273,,
2.575891018,0.002023688956,0.7462353026,,
2.62586236,0.0005065039669,0.8040750475,,
2.675845861,-0.001012761502,1.253292359,,
2.725845814,-0.0005062141428,0.8542363659,,
2.775832653,0,0.8228137737,,
2.825813532,-0.002025629288,1.253358122,,
2.875819206,0.003543093524,0.8035229956,,
,,,,
0.1171472073,,,0,0
0.2170259953,,,0,0
0.3171069622,,,0,0
0.4169557095,,,0,0
0.5171060562,,,0,0
0.6169600487,,,0,0
0.7172160149,,,0,0
0.8170633316,,,0,0
0.9170441628,,,0,0
1.018569946,,,0,0
1.117029667,,,0,0
1.217198372,,,0,0
1.316942215,,,0,0
1.41706872,,,0,0
1.516945839,,,0,0
1.616947889,,,0,0
1.717006207,,,0,0
1.816994905,,,0,0
1.916982889,,,0,0
2.01704669,,,0,1
2.117122889,,,0,1
2.217113495,,,0,1
2.31712532,,,0,1
2.417058706,,,0,1
2.517027617,,,0,1
2.617145777,,,0,1
2.717184544,,,0,1
2.817113876,,,0,1
2.917007446,,,0,1
