Time (s),Actual Linear Velocity (m/s),Actual Angular Velocity (rad/s),Expected Linear Velocity (m/s),Expected Angular Velocity (rad/s)
0.09333586693,0,0,,
0.1481971741,0,0,,
0.193302393,0,0,,
0.243240118,0,0,,
0.2933113575,0,0,,
0.3432416916,0,0,,
0.3933126926,0,0,,
0.4492516518,0,0,,
0.4933018684,0,0,,
0.5432446003,0,0,,
0.5932996273,0,0,,
0.6432409286,0,0,,
0.6932771206,0,0,,
0.743252039,0,0,,
0.7933011055,0,0,,
0.8432471752,0,0,,
0.8932862282,0,0,,
0.9443156719,0,0,,
0.9933216572,0,0,,
1.043246984,0,0,,
1.093293905,0,0,,
1.143245459,0,0,,
1.193277597,0,0,,
1.245334387,0,0,,
1.293293715,0,0,,
1.343249559,0,0,,
1.39327693,0,0,,
1.443252087,0,0,,
1.493319511,0,0,,
1.5453794,0,0,,
1.593296528,0,0,,
1.64324975,0,0,,
1.693330288,0,0,,
1.743259192,0,0,,
1.793307543,0,0,,
1.843255043,0,0,,
1.893330574,0,0,,
1.944454908,0,0,,
1.993296146,0,0,,
2.043252945,0,0,,
2.093304396,0.001978417974,-0.004946044934,,
2.143256664,0.02888490241,0.0148381348,,
2.193279743,0.0672662111,0.01978417974,,
2.245488882,0.08428060568,0.004946044934,,
2.293302774,0.09140291038,0.0148381348,,
2.343253136,0.0973381643,0.009892089868,,
2.393282413,0.09812953149,0.009892089868,,
2.443253994,0.09931658227,0.004946044934,,
2.493282318,0.1016906838,0.004946044934,,
2.543517828,0.09971226587,0.01978417974,,
2.593307257,0.1008993167,0.0148381348,,
2.643258572,0.1001079495,0.0148381348,,
2.693294764,0.09852521509,0.004946044934,,
2.743256092,0.09892089868,0.009892089868,,
2.79331851,0.09892089868,0,,
2.844597101,0.09931658227,-0.02473022467,,
2.89328599,0.09931658227,-0.004946044934,,
2.943257809,0.09812953149,0,,
2.993309498,0.09812953149,0,,
3.043268204,0.09892089868,0,,
3.093309879,0.09852521509,-0.004946044934,,
3.145659924,0.09971226587,-0.0296762696,,
3.193292379,0.09812953149,-0.009892089868,,
3.243257761,0.09971226587,-0.009892089868,,
3.293303728,0.1008993167,-0.004946044934,,
3.343259811,0.09812953149,-0.009892089868,,
3.393290758,0.0973381643,-0.009892089868,,
3.446701288,0.09971226587,-0.009892089868,,
3.493327379,0.09971226587,-0.009892089868,,
3.543261528,0.1008993167,0.004946044934,,
3.593299389,0.09931658227,0.0148381348,,
3.643260956,0.09892089868,0.01978417974,,
3.69329381,0.1005036331,0.01978417974,,
3.747736931,0.09971226587,0.01978417974,,
3.793311596,0.09971226587,0.009892089868,,
3.843262911,0.09892089868,0.009892089868,,
3.89327383,0.09852521509,0.004946044934,,
3.943263054,0.09931658227,0.004946044934,,
3.993280172,0.09852521509,-0.004946044934,,
4.048768044,0.09812953149,-0.009892089868,,
4.093277931,0.09852521509,-0.004946044934,,
4.14329052,0.09931658227,-0.02473022467,,
4.193267822,0.1005036331,-0.01978417974,,
4.243263006,0.09971226587,-0.009892089868,,
4.293305397,0.09971226587,-0.009892089868,,
4.343267918,0.1001079495,-0.004946044934,,
0.1202201843,,,0,0
0.2202265263,,,0,0
0.3199949265,,,0,0
0.4201095104,,,0,0
0.5201942921,,,0,0
0.6200258732,,,0,0
0.7202162743,,,0,0
0.8199882507,,,0,0
0.9200303555,,,0,0
1.020089149,,,0,0
1.120105505,,,0,0
1.220220566,,,0,0
1.320311546,,,0,0
1.420102835,,,0,0
1.519995689,,,0,0
1.620087147,,,0,0
1.720142126,,,0,0
1.820103645,,,0,0
1.920229673,,,0,0
2.020193815,,,0.1,0
2.120492935,,,0.1,0
2.2199893,,,0.1,0
2.320001841,,,0.1,0
2.419975996,,,0.1,0
2.519983292,,,0.1,0
2.620222807,,,0.1,0
2.720216513,,,0.1,0
2.820307255,,,0.1,0
2.920016289,,,0.1,0
3.02006197,,,0.1,0
3.120076656,,,0.1,0
3.220236063,,,0.1,0
3.319997787,,,0.1,0
3.420223713,,,0.1,0
3.520042419,,,0.1,0
3.619868994,,,0.1,0
3.720151186,,,0.1,0
3.820107698,,,0.1,0
3.920235157,,,0.1,0
4.02007103,,,0.1,0
4.120069027,,,0.1,0
4.220000505,,,0.1,0
4.320073128,,,0.1,0
